start_id,search_id,logLik,se,start_alpha_T,start_alpha_H,start_alpha_W,start_E,start_delta_c,start_delta_s,start_sigma,start_tau,alpha_T,alpha_H,alpha_W,E,delta_c,delta_s,sigma,tau
72,0,-762.0895684536391,5.420449736525018,0.0237276758998632,-0.5146810054779052,0.082776740193367,12.364991188049316,0.5738966464996338,-0.754401683807373,0.2541000247001648,0.1306985169649124,0.0101553071290254,-0.0233984980732202,0.4899900555610657,7.064467430114746,0.1982271522283554,0.3594322204589844,0.3421148657798767,0.1590303629636764
33,0,-765.2743152042825,3.7659968281480127,0.0005376939079724,0.4164401054382323,0.3890999853610992,15.60330867767334,0.6310713291168213,0.9046330451965332,0.2064901441335678,0.1463153958320617,0.0017057324294,0.1144612357020378,0.4526327550411224,7.175281524658203,0.301373541355133,0.4633510410785675,0.3533757030963897,0.1555844843387603
81,0,-765.3745324515629,0.8748069290918392,0.0245290845632553,0.5478858709335326,0.1149684116244316,9.189444541931152,0.6318974494934082,-0.2101051807403564,0.3187805414199829,0.0617099106311798,0.0141535596922039,0.0116291483864188,0.4341175854206085,7.51278018951416,0.1986755728721618,0.3859846889972687,0.3487976491451263,0.1451857984066009
8,0,-766.1677667386608,1.5821465482785029,0.0001082773524103,-0.6669259786605835,0.0586464144289493,1.4439365863800049,-0.2588706016540527,-0.3896489143371582,0.1582858562469482,0.0938128754496574,0.0002856076462194,0.1961659640073776,0.3585735559463501,6.349428653717041,0.3807496726512909,0.5670837759971619,0.3687678575515747,0.1612504720687866
71,0,-766.1693595127978,8.976015011370029,0.0184966400265693,-0.4837687492370605,0.0844441950321197,5.562562465667725,0.1376185417175293,0.039212942123413,0.0767778754234314,0.0916237086057663,0.0142944790422916,-0.0821138769388198,0.5124009847640991,7.759528636932373,0.2663258016109466,0.3333170413970947,0.3551787734031677,0.1498046815395355
96,0,-766.5417314250016,8.407263238229172,0.0065342648886144,-0.6507732391357421,0.1432987451553344,2.03313946723938,0.350649356842041,-0.62687087059021,0.246739462018013,0.2289093136787414,0.0155682181939482,-0.0724997445940971,0.7154979705810547,9.237753868103027,0.28166264295578,0.3903484046459198,0.3585702180862427,0.146912395954132
67,0,-766.6290880271853,8.514373490445216,0.0125868814066052,-0.4323403358459472,0.2739429175853729,3.370692253112793,0.8643820285797119,-0.3550283908843994,0.6481950283050537,0.098842978477478,0.0137907369062304,0.0746824741363525,0.4085173010826111,7.874771595001221,0.1861923038959503,0.4040701687335968,0.341667115688324,0.1325819194316864
41,0,-767.5793089910404,2.1989156601772866,0.0142422672361135,-0.5801688194274902,0.6063272356987,1.7318557500839231,-0.2575116157531738,-0.6251397132873535,0.3091422021389007,0.157157614827156,0.0084505779668688,0.0786096453666687,0.4583120346069336,7.607314109802246,0.2375761121511459,0.4611520171165466,0.3257837295532226,0.1637330800294876
12,0,-767.6643113719834,18.602189180070823,0.005599146708846,-0.5843788623809814,0.1900400817394256,5.496620655059815,0.4751040935516357,-0.5893166065216064,0.1342374384403228,0.0563738644123077,0.0029658488929271,0.0584203153848648,0.4472752511501312,6.654272556304932,0.2541194260120392,0.3717910647392273,0.3424082398414612,0.1480963230133056
16,0,-768.2874795809565,13.411462688312236,0.0469857268035411,0.3450247526168823,0.8565418124198914,3.614124536514282,0.7801873683929443,0.654839038848877,0.1623374223709106,0.050119612365961,0.0107719637453556,0.082335464656353,0.3735537528991699,6.508433818817139,0.2163066267967224,0.4608844220638275,0.3444204926490783,0.1348156929016113
