replicate,iteration,logLik,alpha_T,alpha_H,alpha_W,E,delta_c,delta_s,sigma,tau,method,job_id
0,0,,0.5263798832893372,0.5608692765235901,0.49828898906707764,5.066661357879639,0.0,0.0,0.5249814987182617,0.43327319622039795,mif,1
0,1,-1062.15771484375,0.3324485421180725,-0.32620948553085327,1.3641012907028198,15.78211784362793,0.17354716360569,0.4373345673084259,0.32135796546936035,0.3528883457183838,mif,1
0,2,-984.965087890625,0.16216744482517242,-0.5895788669586182,1.6447986364364624,22.08902931213379,-0.5339556932449341,0.14936497807502747,0.4148576259613037,0.22767257690429688,mif,1
0,3,-939.6124877929688,0.06242626905441284,-0.4484800696372986,1.0233194828033447,12.852616310119629,0.14857026934623718,0.24643397331237793,0.4649510085582733,0.13206689059734344,mif,1
0,4,-807.927490234375,0.04186881706118584,-0.08048928529024124,0.9104798436164856,12.168919563293457,-0.2827123999595642,0.411598801612854,0.4251881241798401,0.1996387094259262,mif,1
0,5,-810.1549682617188,0.020914502441883087,-0.15852217376232147,0.6726082563400269,5.848681449890137,0.6642746329307556,0.5661312341690063,0.4079363942146301,0.13390810787677765,mif,1
0,6,-823.218017578125,0.017088226974010468,-0.17578402161598206,1.1643226146697998,15.769461631774902,-0.0860522910952568,0.1698995679616928,0.47608351707458496,0.12337924540042877,mif,1
0,7,-843.1553955078125,0.013729559257626534,0.2655676305294037,0.619213879108429,11.26981258392334,0.06444305181503296,0.24630065262317657,0.46683260798454285,0.09935913980007172,mif,1
0,8,-1403.3118896484375,0.013214925304055214,0.07686913013458252,0.8762083649635315,10.681852340698242,-0.2855098247528076,0.5772072672843933,0.4390585422515869,0.04750441014766693,mif,1
0,9,-1348.18505859375,0.00937142875045538,0.3176957666873932,0.3804692029953003,6.297791481018066,0.04149989038705826,0.32854950428009033,0.5147408843040466,0.04212908446788788,mif,1
0,10,-1410.56103515625,0.012281812727451324,0.05435993894934654,0.7595747113227844,7.557100772857666,0.43516138195991516,0.5565695762634277,0.4212666153907776,0.045603252947330475,mif,1
0,11,-808.8873291015625,0.018187955021858215,0.040737349539995193,0.600689709186554,7.651785850524902,0.41913166642189026,0.04425428435206413,0.47207510471343994,0.09944476187229156,mif,1
0,12,-797.0106201171875,0.015540145337581635,0.08963795751333237,0.6497933268547058,9.65786361694336,0.33891159296035767,0.17071901261806488,0.42599740624427795,0.19661732017993927,mif,1
0,13,-829.7731323242188,0.012524699792265892,0.01966174691915512,0.2957514226436615,6.956497669219971,-0.233272984623909,0.1554773896932602,0.43194615840911865,0.07053229957818985,mif,1
0,14,-853.226318359375,0.00824087392538786,0.039048515260219574,1.2568261623382568,11.845356941223145,0.2649185061454773,0.3757748305797577,0.4836273193359375,0.10095671564340591,mif,1
