replicate,iteration,logLik,alpha_T,alpha_H,alpha_W,E,delta_c,delta_s,sigma,tau,method,job_id
0,0,,0.39765605330467224,0.47854849696159363,0.5500392913818359,4.728455066680908,0.0,0.0,0.49576741456985474,0.48450008034706116,mif,18
0,1,-1043.4710693359375,0.20891915261745453,-0.19959041476249695,0.8868080377578735,17.21013641357422,-0.4079301655292511,0.28530779480934143,0.45070019364356995,0.23226431012153625,mif,18
0,2,-994.8016357421875,0.05040428787469864,-0.21573001146316528,1.0656088590621948,12.123307228088379,-0.10650845617055893,0.49004730582237244,0.4479082524776459,0.09417921304702759,mif,18
0,3,-821.5440063476562,0.03192684054374695,0.12975738942623138,0.39829161763191223,6.1026716232299805,0.3080090284347534,0.49067702889442444,0.43654778599739075,0.1612170785665512,mif,18
0,4,-808.4404907226562,0.02343994751572609,0.07180552184581757,0.37642523646354675,5.5921244621276855,0.42132365703582764,0.5740357041358948,0.4439651370048523,0.12199696898460388,mif,18
0,5,-843.7921142578125,0.028602927923202515,-0.07729800045490265,0.7368360757827759,9.93064022064209,0.09423782676458359,0.4014776647090912,0.5089126229286194,0.07217246294021606,mif,18
0,6,-792.2088012695312,0.036806024610996246,-0.39834514260292053,0.7847815155982971,8.212434768676758,0.35188066959381104,0.48047012090682983,0.41759833693504333,0.18341755867004395,mif,18
0,7,-793.8949584960938,0.04600466042757034,-0.16088052093982697,0.9033464193344116,9.389294624328613,-0.16944299638271332,0.6117165684700012,0.4582124948501587,0.1851927936077118,mif,18
0,8,-801.7449951171875,0.027223553508520126,-0.15440788865089417,0.9094381332397461,12.215242385864258,0.010680361650884151,0.3038511574268341,0.5054147243499756,0.1434829980134964,mif,18
0,9,-828.352294921875,0.023260414600372314,-0.3792698085308075,1.4547138214111328,12.047150611877441,-0.24978847801685333,0.5598859786987305,0.4757283926010132,0.11228300631046295,mif,18
0,10,-1097.36083984375,0.013984023593366146,-0.38724613189697266,0.8807452321052551,8.267505645751953,0.20978225767612457,0.42892318964004517,0.4949364960193634,0.05152174085378647,mif,18
0,11,-1014.5194702148438,0.027460910379886627,-0.23928073048591614,0.930716872215271,8.53331470489502,0.34326833486557007,0.5090036392211914,0.41442766785621643,0.0828886404633522,mif,18
0,12,-1090.05517578125,0.0203830786049366,0.1254507303237915,0.5790741443634033,6.115575790405273,0.2652278542518616,0.6491792798042297,0.4850781559944153,0.08942559361457825,mif,18
0,13,-887.6495971679688,0.022380759939551353,-0.01130770519375801,0.5774881839752197,9.217735290527344,0.20291505753993988,0.24219165742397308,0.4478323459625244,0.12210673838853836,mif,18
0,14,-1161.6846923828125,0.021759234368801117,0.025376833975315094,0.6705530881881714,11.31801700592041,-0.02214069850742817,0.3117371201515198,0.4624929428100586,0.06569977104663849,mif,18
0,15,-873.6648559570312,0.017240451648831367,-0.1111668199300766,0.4961157441139221,10.267086029052734,-0.31399238109588623,0.021279331296682358,0.4670662581920624,0.08354660868644714,mif,18
0,16,-954.0020141601562,0.021751007065176964,-0.0808105319738388,0.7318122386932373,9.01616382598877,-0.17475247383117676,0.579765796661377,0.3805379271507263,0.09831467270851135,mif,18
0,17,-852.5111083984375,0.026026595383882523,-0.13716760277748108,0.5764450430870056,8.77966594696045,0.14500868320465088,0.1736757606267929,0.44134655594825745,0.1304369866847992,mif,18
