replicate,iteration,logLik,alpha_T,alpha_H,alpha_W,E,delta_c,delta_s,sigma,tau,method,job_id
0,0,,0.49042239785194397,0.4250742197036743,0.5689286589622498,5.366000175476074,0.0,0.0,0.473027765750885,0.5231658816337585,mif,15
0,1,-1027.1422119140625,0.16623447835445404,-0.0705757886171341,1.0833929777145386,23.165706634521484,-0.39264801144599915,0.007537885569036007,0.4916486442089081,0.19204890727996826,mif,15
0,2,-908.4270629882812,0.054115504026412964,-0.16956160962581635,1.1863820552825928,12.696831703186035,0.19020414352416992,0.3922888934612274,0.405286967754364,0.24130037426948547,mif,15
0,3,-836.6719360351562,0.04920176416635513,-0.536898136138916,1.5652400255203247,17.26197624206543,0.44299963116645813,0.10483267903327942,0.4135970175266266,0.21021267771720886,mif,15
0,4,-856.9052124023438,0.03893160820007324,-0.867820680141449,1.7392165660858154,15.097552299499512,-0.014500759541988373,0.3107777535915375,0.4328947961330414,0.20715829730033875,mif,15
0,5,-826.0718994140625,0.024743255227804184,-0.4693326950073242,1.5554872751235962,15.359541893005371,-0.19590534269809723,0.34509190917015076,0.3936740756034851,0.22306090593338013,mif,15
0,6,-822.6490478515625,0.024153459817171097,-0.43783795833587646,0.9903925061225891,7.753915786743164,0.12054038047790527,0.5188416838645935,0.455647349357605,0.14432400465011597,mif,15
0,7,-804.7822265625,0.016071416437625885,-0.3590199649333954,1.5183115005493164,15.131840705871582,0.004589616786688566,0.26822859048843384,0.5036612749099731,0.0993482917547226,mif,15
0,8,-813.9039916992188,0.02051093801856041,-0.2654505670070648,1.304842472076416,9.975903511047363,0.2597133219242096,0.5772578120231628,0.4597402513027191,0.12853458523750305,mif,15
0,9,-781.6151123046875,0.020695513114333153,0.05578330159187317,0.36783209443092346,8.600704193115234,-0.7738904356956482,0.5347754955291748,0.5195227265357971,0.10241502523422241,mif,15
0,10,-813.5602416992188,0.02262774482369423,-0.23802362382411957,0.6849697232246399,8.234209060668945,-0.174438014626503,0.5434392094612122,0.4470161497592926,0.17397649586200714,mif,15
0,11,-763.2515869140625,0.024337338283658028,0.0014713124837726355,0.2901372015476227,7.678092002868652,-0.21849320828914642,0.06799371540546417,0.3971242904663086,0.12067531794309616,mif,15
0,12,-868.5104370117188,0.020034560933709145,0.09363019466400146,0.4484047293663025,8.012514114379883,0.026433533057570457,0.22101669013500214,0.4690817594528198,0.11215313524007797,mif,15
0,13,-806.4783935546875,0.02062707021832466,-0.1675998568534851,0.3072139322757721,5.474715709686279,0.2280837744474411,0.14746294915676117,0.4191790819168091,0.1932898908853531,mif,15
0,14,-903.3780517578125,0.018631260842084885,0.1489325910806656,0.444613516330719,8.189265251159668,0.3932383954524994,-0.1638493686914444,0.4557163417339325,0.04843181371688843,mif,15
0,15,-871.8803100585938,0.010624386370182037,-0.10024169832468033,0.8284037113189697,10.048954963684082,-0.27962157130241394,0.5206665992736816,0.431428998708725,0.06793123483657837,mif,15
0,16,-1079.86328125,0.006213468033820391,0.05514143034815788,0.5894479751586914,7.419553756713867,0.7086378335952759,0.20356716215610504,0.47434261441230774,0.11985071003437042,mif,15
0,17,-796.0694580078125,0.0054656281135976315,-0.09029804915189743,0.6535679697990417,10.143542289733887,0.061479613184928894,0.2463080883026123,0.4227220416069031,0.21510127186775208,mif,15
0,18,-802.3706665039062,0.005905158817768097,-0.16269098222255707,1.0063226222991943,10.335569381713867,0.29321834444999695,0.4724012017250061,0.44613581895828247,0.22431808710098267,mif,15
0,19,-814.8711547851562,0.009504787623882294,0.0645570233464241,0.7458200454711914,8.562751770019531,0.1262081265449524,0.43980005383491516,0.3917878270149231,0.20365789532661438,mif,15
0,20,-789.3768310546875,0.0066440897062420845,0.18404006958007812,0.6317266821861267,8.831917762756348,0.5737543702125549,0.20687496662139893,0.44582951068878174,0.17699232697486877,mif,15
