replicate,iteration,logLik,alpha_T,alpha_H,alpha_W,E,delta_c,delta_s,sigma,tau,method,job_id
0,0,,0.4411129057407379,0.5882502794265747,0.5803808569908142,4.96124792098999,0.0,0.0,0.5446884036064148,0.4742157459259033,mif,7
0,1,-1028.4368896484375,0.14172469079494476,0.26659488677978516,0.5208515524864197,10.029084205627441,0.3370955288410187,0.5396533012390137,0.4682445228099823,0.13123276829719543,mif,7
0,2,-891.3473510742188,0.05734149366617203,-0.22395749390125275,0.9567925930023193,10.509706497192383,0.04996794834733009,0.5288108587265015,0.4307389557361603,0.18911541998386383,mif,7
0,3,-839.7207641601562,0.04081462696194649,-0.5678504705429077,1.20406174659729,19.201881408691406,-1.4658335447311401,0.32142025232315063,0.4534909129142761,0.18730536103248596,mif,7
0,4,-872.6309204101562,0.03760748729109764,-0.32090887427330017,1.3125898838043213,19.82505989074707,-0.28308314085006714,-0.037660665810108185,0.5120267271995544,0.0719473659992218,mif,7
0,5,-1065.72314453125,0.04016068950295448,-0.4756646156311035,0.9360969066619873,10.310595512390137,-0.32057106494903564,0.31607264280319214,0.42193153500556946,0.15817396342754364,mif,7
0,6,-819.8616943359375,0.044120900332927704,-0.6933675408363342,1.4585753679275513,10.176979064941406,0.6968034505844116,0.4064638018608093,0.4407591223716736,0.11591985821723938,mif,7
0,7,-853.5830078125,0.03242047503590584,-0.4643864333629608,1.7334872484207153,12.524866104125977,0.1415511816740036,0.49629318714141846,0.44965681433677673,0.11724725365638733,mif,7
0,8,-882.9334106445312,0.025053437799215317,-0.33797553181648254,1.4856629371643066,11.389805793762207,0.19789493083953857,0.4573439061641693,0.47691237926483154,0.07795754075050354,mif,7
0,9,-801.1435546875,0.019784625619649887,-0.5184534192085266,1.4883942604064941,14.432150840759277,-0.09089268743991852,0.34796491265296936,0.484332412481308,0.15941058099269867,mif,7
0,10,-789.6026000976562,0.01889032870531082,-0.09149831533432007,1.2522958517074585,11.355422019958496,0.37030890583992004,0.4411742687225342,0.4130915701389313,0.20981357991695404,mif,7
0,11,-804.7533569335938,0.01740119978785515,0.3164915442466736,0.5714485049247742,11.428504943847656,0.060652218759059906,0.1535867303609848,0.41982197761535645,0.14204955101013184,mif,7
0,12,-794.7501831054688,0.01979941502213478,0.18496882915496826,0.4363040030002594,8.077943801879883,0.16438546776771545,0.4635121524333954,0.4154520630836487,0.18791812658309937,mif,7
0,13,-843.0185546875,0.02140166237950325,-0.010920995846390724,0.42719408869743347,7.869281768798828,-0.3970015347003937,0.4286418557167053,0.43873855471611023,0.15004318952560425,mif,7
0,14,-833.9155883789062,0.016731401905417442,-0.022253049537539482,0.435696005821228,6.871249675750732,0.4756062626838684,-0.023042863234877586,0.4074539542198181,0.1631793975830078,mif,7
0,15,-779.514892578125,0.017624614760279655,0.11391415446996689,0.6580601334571838,9.602866172790527,0.22010669112205505,0.2512584626674652,0.46182703971862793,0.13159646093845367,mif,7
0,16,-817.0286254882812,0.01664009504020214,-0.12363725900650024,0.7789177894592285,9.687804222106934,-0.2144225835800171,0.44281005859375,0.4423615336418152,0.12947717308998108,mif,7
0,17,-798.1051025390625,0.01990850269794464,-0.11540823429822922,1.0499237775802612,11.471820831298828,0.11022822558879852,0.33257538080215454,0.46425607800483704,0.21118038892745972,mif,7
0,18,-839.169189453125,0.026416834443807602,-0.34450745582580566,0.9743170142173767,10.800886154174805,0.3022024929523468,0.17642861604690552,0.4098778963088989,0.14008444547653198,mif,7
0,19,-833.7183837890625,0.019633183255791664,-0.24000965058803558,0.768220067024231,9.20057487487793,0.49790289998054504,0.12091967463493347,0.40623214840888977,0.13268178701400757,mif,7
0,20,-864.9553833007812,0.013533107936382294,-0.023649759590625763,0.7664694786071777,9.304963111877441,0.09680721163749695,0.3898317515850067,0.4226011633872986,0.14014139771461487,mif,7
0,21,-788.1288452148438,0.01957966946065426,0.015125644393265247,0.618645429611206,8.16853141784668,0.05592670291662216,0.45448610186576843,0.41528284549713135,0.18323005735874176,mif,7
0,22,-823.1173095703125,0.0254041850566864,-0.20590832829475403,1.0754228830337524,9.300834655761719,0.13913531601428986,0.5810403823852539,0.4431535303592682,0.11884377151727676,mif,7
0,23,-826.3429565429688,0.029246201738715172,0.02140088565647602,0.6245142817497253,9.066895484924316,0.04481447488069534,0.23566864430904388,0.4202768802642822,0.1294579654932022,mif,7
