replicate,iteration,logLik,alpha_T,alpha_H,alpha_W,E,delta_c,delta_s,sigma,tau,method,job_id
0,0,,0.41034138202667236,0.5533443093299866,0.4980126619338989,5.086679458618164,0.0,0.0,0.48032811284065247,0.47675931453704834,mif,2
0,1,-1043.094482421875,0.21011479198932648,-0.009061666205525398,0.7628272175788879,18.05218505859375,-0.8199913501739502,0.3729296922683716,0.34004372358322144,0.37403082847595215,mif,2
0,2,-910.4772338867188,0.06977274268865585,-0.28373539447784424,1.1029022932052612,16.6004638671875,-0.33469805121421814,0.18567004799842834,0.44538310170173645,0.18253353238105774,mif,2
0,3,-914.1634521484375,0.025372909381985664,-0.11285672336816788,1.0362082719802856,12.669281005859375,0.4018268287181854,0.21900643408298492,0.45289042592048645,0.06864267587661743,mif,2
0,4,-777.3353881835938,0.0157517921179533,-0.17912708222866058,0.8932176232337952,8.234030723571777,0.2683700919151306,0.40987855195999146,0.4380747079849243,0.16433478891849518,mif,2
0,5,-819.8895874023438,0.022486448287963867,0.1464054137468338,0.5993303060531616,6.351775169372559,0.1040361300110817,0.5818603038787842,0.44397029280662537,0.1356489062309265,mif,2
0,6,-844.8167724609375,0.02086159959435463,0.05080267786979675,0.8302804231643677,8.283411979675293,0.8979794979095459,0.5110616683959961,0.44755202531814575,0.13964737951755524,mif,2
0,7,-782.9168090820312,0.011244518682360649,0.10795392096042633,0.7876236438751221,9.757831573486328,0.30203789472579956,0.548306405544281,0.3652608096599579,0.2972423732280731,mif,2
0,8,-840.7365112304688,0.015833279117941856,-0.20474089682102203,1.0346767902374268,12.736227989196777,-0.1762685477733612,0.3481675982475281,0.4381154775619507,0.16317984461784363,mif,2
0,9,-826.196533203125,0.016017265617847443,0.10499351471662521,0.7508945465087891,10.291289329528809,0.1703128069639206,0.3602108061313629,0.424863338470459,0.1764722764492035,mif,2
0,10,-927.8921508789062,0.00990547239780426,-0.02245992235839367,0.7632330060005188,9.927141189575195,-0.13800881803035736,0.4637065827846527,0.4540749490261078,0.0933961495757103,mif,2
0,11,-756.6732788085938,0.01305161602795124,0.21472890675067902,0.5286356210708618,7.030669689178467,0.5824995636940002,0.3845788836479187,0.4041638970375061,0.20691528916358948,mif,2
0,12,-770.965576171875,0.011705799028277397,0.17172417044639587,0.3168688118457794,6.977393627166748,-0.614706814289093,0.5988953113555908,0.44336825609207153,0.18474510312080383,mif,2
0,13,-835.6434936523438,0.0158261526376009,0.28425171971321106,0.598974347114563,8.573057174682617,0.4541977047920227,0.3752484619617462,0.40940314531326294,0.18526878952980042,mif,2
0,14,-786.9149780273438,0.020176805555820465,-0.10569018870592117,0.29747894406318665,4.7941179275512695,-0.2527690827846527,0.3412838876247406,0.46871694922447205,0.14189091324806213,mif,2
0,15,-822.8300170898438,0.01598913036286831,-0.027192428708076477,0.47756272554397583,8.823524475097656,0.15180565416812897,-0.04681716486811638,0.4257284998893738,0.13858410716056824,mif,2
