month_name,cases,filtered_mean_raw,log_cases,filtered_mean_log
Jan,226.17142857142858,220.21630448822296,4.966733989562218,4.953541870281338
Feb,143.8,146.79975838271443,4.575560929691694,4.587833989612322
Mar,131.6,133.44193398137986,4.573587876055035,4.567446925182251
Apr,140.11428571428573,144.29060287519553,4.538224479778738,4.583369010615392
May,265.8857142857143,256.3916563723148,5.093315121643064,5.086971439825221
Jun,601.4,588.2343533798917,5.860300114074595,5.852335645824494
Jul,1818.057142857143,1677.0578482274545,6.79397415076555,6.761766187532975
Aug,3660.057142857143,3464.2776776328374,7.442348722485139,7.418037790885464
Sep,3631.3714285714286,3703.506321726349,7.55356251961313,7.546827331875496
Oct,2251.4285714285716,2270.2441684944984,7.055360954717329,7.068492698166664
Nov,991.0857142857143,998.5180056926944,6.297671248376566,6.296874483414801
Dec,370.2857142857143,387.4905876830439,5.398049274581496,5.423321039972182
