trace_rank,iter,if2_loglik,rep_loglik,rep_se,beta0,delta_post,alpha,nu,k_proc,sigma_A,eta,I0,sigma_obs,theta,start_id
3,45,-225.72333601736165,-226.60185773929274,0.2517012559052436,2.693225350352833,-0.027849686032153036,0.8645927679209731,9425.329983289428,16.158976023239575,0.44367427630702855,0.9357463162918592,35.578853725654454,0.19450446479869946,"[0.990739490370381, -0.7483145897654169, 0.10190011433982275, 0.10224553650243, 0.0989273077142225, -0.027849686032153036, 0.1168750023220582, 9.151156023192918, 2.782475686186768, -0.8126645976959237, 2.678505354029073, 3.5717514649018094, -1.6373001609238678]",1
4,47,-225.47581557623508,-228.9982959478832,0.24470946302263927,2.828590964921198,-0.3313776764648251,0.865823286025988,8873.029424804297,12.497898944338154,0.4080852518133745,0.5882975551648643,145.46183276426217,0.20111859794335962,"[1.039778695411647, -0.7485853452336181, 0.08770126543237923, 0.1402288944887583, 0.08460871604866137, -0.3313776764648251, 0.1267557314931844, 9.090771553048063, 2.525560545727533, -0.8962791758821187, 0.35693199895101735, 4.979913734428829, -1.6038605054087332]",0
2,40,-224.2149653264913,-229.23286740627992,0.2645968167177006,3.1054799842496372,-0.26554361625380607,0.8490454739959157,9413.121961777015,16.500468385160385,0.33339477259335454,0.9398060635260372,24.27951042102892,0.18572186406743546,"[1.1331682877379206, -0.7452871910960172, 0.061198259029780176, 0.0898008683329768, 0.08510577551163868, -0.26554361625380607, -0.007636245139671056, 9.149859948201518, 2.8033887674830495, -1.0984279878724812, 2.74810191436227, 3.1896328021094584, -1.6835050789034254]",1
1,43,-217.72053898797074,-231.97296640122462,0.5233311713613363,2.6304080755028396,-0.10328976204804552,0.8592240117930845,8699.32947315807,16.708272587790773,0.4232108488854628,0.9462542445796513,33.775755043340915,0.2042231700834978,"[0.96713899594148, -0.7385081732834525, 0.013321873298535644, 0.11571185974922485, 0.08146155587444862, -0.10328976204804552, 0.0738256065641492, 9.071001229621675, 2.8159039613085697, -0.859884763404003, 2.868246595461012, 3.519743238691607, -1.5885419120906004]",1
5,19,-229.0258128035189,-247.31353193616155,0.36894404942505704,4.212134712991757,-0.5448519698035221,0.824113877114838,9645.56562642785,15.545272493697963,0.25775799846451386,0.9299675334390645,15.296632343698533,0.2364742997296627,"[1.437969576901722, -0.7246105881386878, -0.026881568932055774, 0.1688502307993145, 0.07615033989827281, -0.5448519698035221, -0.20783387968223352, 9.174253568143671, 2.743756572704006, -1.3557341246964634, 2.586190732720313, 2.727632695916015, -1.441915746174262]",1
3,3,-222.40708923648504,-257.3505972632528,0.6579387730774419,3.382781288455093,-0.5948361797203421,0.8121101003889362,9090.04321605612,23.038238253614946,0.3534923653531877,0.7139179261888629,98.48743175861568,0.2245228108432584,"[1.2186982375328068, -0.7632995876610194, 0.06373423364665051, 0.017290849052775267, 0.08040003283778216, -0.5948361797203421, -0.3054726327080443, 9.11493494140182, 3.137155368217266, -1.0398933911823056, 0.9144892653980292, 4.5899289436777035, -1.4937779696418656]",0
4,30,-227.72738815369198,-263.8158471859653,0.36181213878603474,3.9659074920110133,-0.1501933932568315,0.7991798345894137,10158.0034978232,14.625717236251393,0.3514604953904442,0.9392258449221559,22.403478769948684,0.21010884918430303,"[1.3777347045635926, -0.640316559885113, -0.003490346737954255, 0.02874532286621048, 0.1242018867745434, -0.1501933932568315, -0.41230452104723075, 9.226017195702852, 2.6827814337103777, -1.0456579626948797, 2.737891349069756, 3.1092162490327033, -1.5601295531019141]",1
5,25,-227.6172234030137,-264.0459427007828,0.5404351590005846,4.4142269643446665,-0.6004713968210764,0.8118833245178142,10139.975547639007,18.600734191326627,0.22148881921254984,0.7459776380843915,124.97628165417942,0.24854638590702796,"[1.4848327257116865, -0.6999045851382868, 0.035832473865439134, -0.0050275419492196655, 0.07642207130573964, -0.6004713968210764, -0.30732975417524494, 9.224240865666824, 2.9232010525921, -1.5073831683666952, 1.0772733218151338, 4.828123972531541, -1.3921257872551671]",0
2,9,-221.8848581781203,-284.01091313925326,0.8554857186450724,2.8149736621017016,-0.3652823103313349,0.8335823259578622,9918.045395030122,27.216428743188533,0.32444270201209807,0.6259524936937596,117.61644118154595,0.19529696575848512,"[1.0349529052785058, -0.7134476935714402, 0.06579906305220765, 0.043743522867622314, 0.05578822176612423, -0.3652823103313349, -0.13153069180279336, 9.202111144073301, 3.303820788879972, -1.125646331581107, 0.5148916679951988, 4.76742883165811, -1.6332339775310736]",0
1,11,-220.62039027997074,-298.269725428516,1.1980761355653917,4.080331720337623,-0.40225781280706246,0.819749374742361,8702.951651916985,18.69112838073246,0.2379225792272738,0.6191420844026772,181.30154083896304,0.2012549304367715,"[1.4061782891153982, -0.5987163596487229, 0.10735699399848904, 0.11539555668180392, 0.15910785852820372, -0.40225781280706246, -0.2431966017729985, 9.071417517438794, 2.928048993145999, -1.4358099555957227, 0.485908404328134, 5.20016161656067, -1.6031828639188583]",0
