date,cases,year,month,month_angle,post_1955,year_change,log_cases,filtered_mean_raw,filtered_mean_log,ess,loglik_t
1930-01-01,61.0,1930,1,0.0,0,0,4.127134385045092,42.94484855672692,3.776989484499501,332.8807338168218,-1.9229794013458967
1930-02-01,79.0,1930,2,0.5235987755982988,0,0,4.382026634673881,63.92565315163063,4.163314784258233,246.3061058853121,-1.491980337689366
1930-03-01,86.0,1930,3,1.0471975511965976,0,0,4.465908118654584,81.68547520108959,4.40249821743341,738.7292238444714,-0.05113658244047237
1930-04-01,60.0,1930,4,1.5707963267948966,0,0,4.110873864173311,71.08664285345571,4.262667835446721,274.0046874855925,-1.219596162533632
1930-05-01,129.0,1930,5,2.0943951023931953,0,0,4.867534450455582,133.48746068377994,4.888409492151267,834.9891283591792,0.09118841736036742
1930-06-01,515.0,1930,6,2.6179938779914944,0,0,6.246106765481563,455.63454069000477,6.110834393086664,440.9220499124211,-0.6866777488563862
1930-07-01,910.0,1930,7,3.141592653589793,0,0,6.814542897259958,989.7283650472257,6.885581308315269,730.6697504029459,-0.07868070286764883
1930-08-01,1648.0,1930,8,3.665191429188092,0,0,7.407924322559599,1771.099450517278,7.466426899392855,783.0545769697205,-0.011716761111582485
1930-09-01,2235.0,1930,9,4.1887902047863905,0,0,7.71244383427499,2259.768901280643,7.71092934337581,898.0969996245386,0.1726294015524239
1930-10-01,2023.0,1930,10,4.71238898038469,0,0,7.6128310304073565,1900.8657348147697,7.53801016104647,674.977101270471,-0.15175311500248245
1930-11-01,974.0,1930,11,5.235987755982989,0,0,6.882437470997847,966.4460556193253,6.86195405420388,851.314895569333,0.11428672542110263
1930-12-01,289.0,1930,12,5.759586531581287,0,0,5.66988092298052,329.27624466217753,5.786035892880449,482.3657665249097,-0.5601198874041966
1931-01-01,194.0,1931,1,0.0,0,1,5.272999558563747,196.51650991500077,5.26943779642315,561.0240012283456,-0.35279863822962554
1931-02-01,102.0,1931,2,0.5235987755982988,0,0,4.634728988229636,109.65465127873611,4.691015511821036,526.4090600469643,-0.4289659159621664
1931-03-01,106.0,1931,3,1.0471975511965976,0,0,4.672828834461906,105.03293625552155,4.648548907471502,708.8866287125737,-0.11352348718711092
1931-04-01,86.0,1931,4,1.5707963267948966,0,0,4.465908118654584,93.69404521898066,4.535443866241073,556.6674433027587,-0.38163626225407477
1931-05-01,114.0,1931,5,2.0943951023931953,0,0,4.74493212836325,122.3671549760468,4.801132898920752,662.4561445600483,-0.16999911461658712
1931-06-01,161.0,1931,6,2.6179938779914944,0,0,5.087596335232384,181.04357998325122,5.189325952874088,483.31511454774017,-0.5656059455758431
1931-07-01,1110.0,1931,7,3.141592653589793,0,0,7.01301578963963,847.5215646161906,6.73174996972376,32.860829102145686,-3.720136303122589
1931-08-01,5894.0,1931,8,3.665191429188092,0,0,8.68185981297147,3496.2718252780382,8.153839839316507,3.538295769892531,-8.202249844036688
1931-09-01,3527.0,1931,9,4.1887902047863905,0,0,8.168486417126681,3619.081028684731,8.180636566720597,859.207007216899,0.10925137324720957
1931-10-01,2295.0,1931,10,4.71238898038469,0,0,7.738923757439457,2299.898485844076,7.727520284888973,845.2754744245273,0.0924735797823164
1931-11-01,934.0,1931,11,5.235987755982989,0,0,6.840546529288687,971.4918966143213,6.866543967171884,810.6184262217184,0.05661721412407417
1931-12-01,265.0,1931,12,5.759586531581287,0,0,5.583496308781699,300.05333790724575,5.692085596761025,464.1844880883044,-0.622377854228338
1932-01-01,196.0,1932,1,0.0,0,1,5.2832037287379885,196.1648857907063,5.268053576018464,564.5784370695931,-0.33650299046108145
1932-02-01,105.0,1932,2,0.5235987755982988,0,0,4.663439094112067,113.46802555505523,4.724421023720426,465.036420141652,-0.5551545935527518
1932-03-01,63.0,1932,3,1.0471975511965976,0,0,4.1588830833596715,70.86816853747291,4.257722593205369,374.91874422799987,-0.8439661428134393
1932-04-01,82.0,1932,4,1.5707963267948966,0,0,4.418840607796598,82.93893360637384,4.4145903760220335,748.0061787002661,-0.05967555359456611
1932-05-01,97.0,1932,5,2.0943951023931953,0,0,4.584967478670572,105.63028846260649,4.654445894868303,631.0004642050275,-0.254023499711586
1932-06-01,142.0,1932,6,2.6179938779914944,0,0,4.962844630259907,160.60373776296177,5.070804690197624,476.9511480783674,-0.5705383171728666
1932-07-01,322.0,1932,7,3.141592653589793,0,0,5.777652323222656,333.83049827377715,5.7994916676561274,797.3137514550187,0.027279217176447546
1932-08-01,864.0,1932,8,3.665191429188092,0,0,6.762729506931879,791.4074118785347,6.660715595812789,514.0807007210668,-0.49251814979066744
1932-09-01,1080.0,1932,9,4.1887902047863905,0,0,6.985641817639208,1034.446462781225,6.928933792033245,698.5630155129311,-0.11804156216276951
1932-10-01,584.0,1932,10,4.71238898038469,0,0,6.371611847231857,612.2999055526302,6.405207007327578,794.256469381525,0.029302118759513718
1932-11-01,182.0,1932,11,5.235987755982989,0,0,5.209486152841421,208.00954959222523,5.328535562378739,484.20654299560914,-0.5756341348815752
1932-12-01,105.0,1932,12,5.759586531581287,0,0,4.663439094112067,103.35693181703687,4.633912585282721,791.1276075160285,0.016177450033502794
1933-01-01,94.0,1933,1,0.0,0,1,4.553876891600541,92.1131574221447,4.51736205748678,501.53201553001344,-0.476705998029642
1933-02-01,47.0,1933,2,0.5235987755982988,0,0,3.871201010907891,52.787436641010885,3.967585823711521,280.627822707703,-1.143110905222704
1933-03-01,53.0,1933,3,1.0471975511965976,0,0,3.9889840465642745,54.79964151487013,4.006841784010044,701.8809600008657,-0.11034082171819648
1933-04-01,89.0,1933,4,1.5707963267948966,0,0,4.499809670330265,86.56058231680106,4.4579274701228435,686.8392054245758,-0.13563034168591592
1933-05-01,68.0,1933,5,2.0943951023931953,0,0,4.23410650459726,82.51392075010988,4.410003404520146,137.52158729641437,-1.966383192168454
1933-06-01,88.0,1933,6,2.6179938779914944,0,0,4.48863636973214,105.17568221064063,4.6482918653244,145.96954426185167,-1.8660592340223587
1933-07-01,539.0,1933,7,3.141592653589793,0,0,6.29156913955832,440.9763943901804,6.0809713752087,158.54518837022476,-1.878200080341431
1933-08-01,1305.0,1933,8,3.665191429188092,0,0,7.174724309836376,1170.3746638282212,7.051832416553571,510.9626296254448,-0.5400163989749371
1933-09-01,1388.0,1933,9,4.1887902047863905,0,0,7.236339342754344,1409.7078290417169,7.23720651086163,788.5154219811357,0.007583752580085701
1933-10-01,846.0,1933,10,4.71238898038469,0,0,6.741700694652055,876.9201186933269,6.763013422615851,775.0383273080221,-0.004158038903199213
1933-11-01,268.0,1933,11,5.235987755982989,0,0,5.594711379601839,305.4691688870045,5.710730422399825,441.15171198467453,-0.664851480780559
1933-12-01,154.0,1933,12,5.759586531581287,0,0,5.043425116919247,153.36150318423628,5.02596740398209,824.8564632379133,0.07178936299807859
1934-01-01,97.0,1934,1,0.0,0,1,4.584967478670572,99.51122402325205,4.593508275566217,572.4742523270743,-0.3400400388395042
1934-02-01,70.0,1934,2,0.5235987755982988,0,0,4.2626798770413155,72.32251578670781,4.279972042843883,624.8675107172512,-0.2188713216825331
1934-03-01,71.0,1934,3,1.0471975511965976,0,0,4.276666119016055,72.2895802613318,4.279796224768271,690.2680702950743,-0.11723033075729283
1934-04-01,126.0,1934,4,1.5707963267948966,0,0,4.844187086458591,120.39946066314843,4.785253930934793,612.3789062833891,-0.25255531404583387
1934-05-01,389.0,1934,5,2.0943951023931953,0,0,5.966146739123692,336.5524922271651,5.80808625970743,273.3617733593828,-1.2181126568983718
1934-06-01,1328.0,1934,6,2.6179938779914944,0,0,7.192182058713246,1159.5497997488665,7.044195139940263,384.10501984159197,-0.8479514859591575
1934-07-01,1331.0,1934,7,3.141592653589793,0,0,7.194436851100335,1651.7763590335462,7.39528393125063,122.52102732165432,-2.1611032673769355
1934-08-01,1256.0,1934,8,3.665191429188092,0,0,7.136483208590247,1609.864298589649,7.367387330754765,53.90119070202394,-3.1277146378557674
1934-09-01,1366.0,1934,9,4.1887902047863905,0,0,7.220373836723949,1557.2370973572067,7.3382384328228385,506.0762296107214,-0.5167693735958174
1934-10-01,705.0,1934,10,4.71238898038469,0,0,6.559615237493242,807.6999588936133,6.681071487985808,403.9065538981772,-0.7607726589109802
1934-11-01,332.0,1934,11,5.235987755982989,0,0,5.808142489980444,364.88711255993616,5.88900128639596,676.7565293511121,-0.17187577037134716
1934-12-01,214.0,1934,12,5.759586531581287,0,0,5.3706380281276624,209.4248794804418,5.335446124051973,811.4056025463623,0.043218311780174545
1935-01-01,114.0,1935,1,0.0,0,1,4.74493212836325,118.31273026111964,4.765308005998708,557.6852363332764,-0.35872166395341587
1935-02-01,106.0,1935,2,0.5235987755982988,0,0,4.672828834461906,105.54372840553194,4.651909003615481,601.4225919679737,-0.29439801441565017
1935-03-01,107.0,1935,3,1.0471975511965976,0,0,4.68213122712422,109.3837585025777,4.688361592841446,710.9176430492091,-0.11112894375163584
1935-04-01,74.0,1935,4,1.5707963267948966,0,0,4.31748811353631,85.64313371313541,4.44463361138933,261.2293374509766,-1.2547215431196452
1935-05-01,136.0,1935,5,2.0943951023931953,0,0,4.919980925828125,138.45553836052352,4.923126006335841,765.7862483195946,-0.01693442888462826
1935-06-01,616.0,1935,6,2.6179938779914944,0,0,6.424869023905388,515.0496420783065,6.233219352366219,163.13681291754332,-1.8190003929149414
1935-07-01,1134.0,1935,7,3.141592653589793,0,0,7.034387929915503,1174.9232823751904,7.0565576777862145,802.2072752573165,0.04744011921593305
1935-08-01,3102.0,1935,8,3.665191429188092,0,0,8.04012466444838,2863.2157496177424,7.946482867622651,596.1939550508197,-0.32577622906348047
1935-09-01,3535.0,1935,9,4.1887902047863905,0,0,8.170751423757535,3488.0976681239954,8.143775105349594,809.9230424915188,0.044955567377675365
1935-10-01,1039.0,1935,10,4.71238898038469,0,0,6.946975992135418,1285.9367303822348,7.145231785007624,147.77204496235373,-1.9605099195198186
1935-11-01,509.0,1935,11,5.235987755982989,0,0,6.234410725718371,542.7459336371414,6.285443537217953,775.9623636345357,0.0003372196281041795
1935-12-01,253.0,1935,12,5.759586531581287,0,0,5.537334267018537,255.4565923259056,5.533209976218264,827.6102506935213,0.07296473106849888
1936-01-01,73.0,1936,1,0.0,0,1,4.30406509320417,80.78693448283033,4.385421107897973,266.84760371562265,-1.1903915131571416
1936-02-01,68.0,1936,2,0.5235987755982988,0,0,4.23410650459726,64.8459864721347,4.170583170757263,438.5250294397737,-0.638852979828421
1936-03-01,85.0,1936,3,1.0471975511965976,0,0,4.454347296253507,78.58521205251412,4.362028366836302,418.821112725925,-0.6834608791404921
1936-04-01,44.0,1936,4,1.5707963267948966,0,0,3.8066624897703196,53.06806371999464,3.9746831284405397,200.46732146307338,-1.5842093441702545
1936-05-01,112.0,1936,5,2.0943951023931953,0,0,4.727387818712341,104.43149769974639,4.64427596434861,590.5227047599334,-0.3143568002831181
1936-06-01,141.0,1936,6,2.6179938779914944,0,0,4.955827057601261,157.92761793677275,5.053356596644299,497.27132474092815,-0.5286223998977935
1936-07-01,513.0,1936,7,3.141592653589793,0,0,6.2422232654551655,468.0450164314784,6.137369064605198,509.02413946928726,-0.4890722047224063
1936-08-01,765.0,1936,8,3.665191429188092,0,0,6.641182169740591,792.5071702753451,6.66302519527607,784.3480645035527,0.026055324371474953
1936-09-01,1027.0,1936,9,4.1887902047863905,0,0,6.93537044601511,999.7961096633207,6.8947326350935665,756.4441012682217,-0.02829510726424367
1936-10-01,931.0,1936,10,4.71238898038469,0,0,6.837332814685591,841.7950958985513,6.723256780994804,519.6660392640529,-0.48558489116052606
1936-11-01,611.0,1936,11,5.235987755982989,0,0,6.416732282512326,537.8521682790009,6.277237086466548,398.5542582446506,-0.7749778559947629
1936-12-01,166.0,1936,12,5.759586531581287,0,0,5.117993812416755,186.67532700708932,5.220447361284777,573.7096598783147,-0.392340595438597
1937-01-01,123.0,1937,1,0.0,0,1,4.820281565605037,124.35146277482033,4.8137309734793465,545.8244477237607,-0.3922119993874258
1937-02-01,78.0,1937,2,0.5235987755982988,0,0,4.3694478524670215,83.84432524840254,4.4251677480873415,562.158123899437,-0.36483220264301863
1937-03-01,86.0,1937,3,1.0471975511965976,0,0,4.465908118654584,87.45554561119629,4.466884149102267,694.1795217036087,-0.12962558825561743
1937-04-01,83.0,1937,4,1.5707963267948966,0,0,4.430816798843313,89.76196277200155,4.492242378353438,582.4071712692968,-0.3463828111183158
1937-05-01,118.0,1937,5,2.0943951023931953,0,0,4.77912349311153,126.60766039038423,4.835027847983797,674.2328858622809,-0.15206901979652443
1937-06-01,347.0,1937,6,2.6179938779914944,0,0,5.8522024797744745,333.21756973964517,5.797130181110096,672.1435133968433,-0.17095060444450105
1937-07-01,1256.0,1937,7,3.141592653589793,0,0,7.136483208590247,1131.6611526065722,7.019589951510817,450.1481491096364,-0.6230620354347911
1937-08-01,2624.0,1937,8,3.665191429188092,0,0,7.872836175025724,2508.1591566675515,7.81463452194301,721.707272171153,-0.0766848543067411
1937-09-01,3029.0,1937,9,4.1887902047863905,0,0,8.016317898503415,3007.178368843352,7.995206904829198,824.9284616866955,0.05989077874248849
1937-10-01,1279.0,1937,10,4.71238898038469,0,0,7.154615356913663,1456.0020975675968,7.269803792313729,496.44238051368995,-0.5511764650538815
1937-11-01,322.0,1937,11,5.235987755982989,0,0,5.777652323222656,388.45439141527385,5.949427168298502,173.9214334666439,-1.7386130782483873
1937-12-01,135.0,1937,12,5.759586531581287,0,0,4.912654885736052,147.02756039238568,4.983543097304278,676.027717530995,-0.1681730798876817
1938-01-01,106.0,1938,1,0.0,0,1,4.672828834461906,107.26756278772358,4.668341186791605,557.2345084303618,-0.3610945033886086
1938-02-01,86.0,1938,2,0.5235987755982988,0,0,4.465908118654584,89.35429422866014,4.488092452207296,629.3644268342318,-0.23499423392950547
