spec,R²,Adj R²,nobs,t[V21_P],t[VRP],t[const],t[eq_v],β[V21_P],β[VRP],β[const],β[eq_v]
Q only           (eq_v),0.19513993939647534,0.19467631032930743,1738,,,0.567393909949663,5.511569191441857,,,0.00443910170651627,0.8350602896535233
P only           (V21_P),0.1562082511204108,0.15572219596552628,1738,4.5259751172082545,,0.546876624939078,,0.9971574575843587,,0.005132982584457655,
VRP only,0.06774650964471507,0.0672094972654782,1738,,2.1846740679904113,6.991396784946762,,,0.8794809115175959,0.04944380491110491,
MZ + VRP         (eq_v + VRP),0.19756096162209014,0.19663595984874382,1738,,-0.8643815875968984,0.17293858626568598,5.77193235932277,,-0.22442989862774645,0.001440967241691373,0.9194002991932166
P + Q jointly    (eq_v + V21_P),0.19756096162209014,0.19663595984874382,1738,0.8643815875968808,,0.17293858626568523,2.686465741294903,0.2244298986277469,,0.0014409672416913644,0.6949704005654702
