## S&P 500 daily return 2002-2012, demeaned
## The data analyzed by Breto (2014)
## Statistics & Probability Letters, 91, 20–26.
## “On idiosyncratic stochasticity of financial leverage effects"
## doi: 10.1016/j.spl.2014.04.003.
"","x"
"1",0.564526983241869
"2",0.905989380727472
"3",0.611559311339842
"4",-0.659842527865646
"5",-0.36731122639025
"6",-0.488867524758725
"7",0.114154974981744
"8",-0.959125557690961
"9",-0.637430236169341
"10",0.673250945203445
"11",-1.6456861042775
"12",0.990211146395452
"13",-1.0049917176245
"14",-0.743965643695728
"15",0.781495363386824
"16",0.343442787211117
"17",0.091926603579988
"18",-0.0272482778460882
"19",-2.910844575111
"20",1.16009046334182
"21",1.47452004826582
"22",-0.71819010298529
"23",-2.51265645598891
"24",-0.412510938023687
"25",-0.606861054653536
"26",-0.316567229570926
"27",1.46711250020039
"28",1.41600020778793
"29",-0.407935175196379
"30",0.981388236531859
"31",-0.189490058816262
"32",-1.11562381242332
"33",-1.91324536932467
"34",1.33449293334606
"35",-1.57101810178422
"36",0.811227520635043
"37",1.77371362908604
"38",-0.0123406354751344
"39",0.0381273449781604
"40",-0.292952692704713
"41",2.23035559141322
"42",1.92255585385845
"43",-0.67740725641053
"44",1.43269775451863
"45",-0.458636311055678
"46",0.575323610805227
"47",0.330848834684676
"48",-0.237498231773643
"49",-0.998499971141105
"50",-0.098855900453494
"51",1.12360298399287
"52",-0.0601558318207586
"53",0.398016557713248
"54",-1.59605730329642
"55",0.14311363815193
"56",-0.432628797678565
"57",-1.48380731233425
"58",0.575335364819611
"59",0.525659734004751
"60",0.237370315314826
"61",-0.0819423442980428
"62",-0.864493795687278
"63",-1.01219198272465
"64",0.0756572789423581
"65",-0.328855568596549
"66",0.219922364173424
"67",-0.675664951269923
"68",1.11926704487739
"69",-2.40527012816306
"70",0.653206304352742
"71",-0.772216988361703
"72",2.30700975399515
"73",-0.21187558784413
"74",-0.150021836132759
"75",0.0543984662812734
"76",-1.56093255516637
"77",-0.629895762962758
"78",-0.720657479950255
"79",-0.159805254266072
"80",-1.40650952876549
"81",-1.02289073163482
"82",1.06295327260095
"83",0.874125241638317
"84",-0.182866693613211
"85",-1.03935829953186
"86",-1.9607672374199
"87",-0.310379898610009
"88",3.67394243795178
"89",-1.47326472981784
"90",-1.70148322104862
"91",1.83016501058818
"92",2.08447776744529
"93",-0.575386133082596
"94",0.646258965448492
"95",0.750508468306215
"96",-1.34605707286027
"97",-1.11293944737237
"98",0.559137654572754
"99",1.00541300969598
"100",-1.22386043785173
"101",-0.866820543073861
"102",-0.651096864675556
"103",-0.289217557994299
"104",0.224833619433411
"105",-2.51861642177772
"106",-0.00687280954079896
"107",0.873262968934145
"108",-2.00400398668673
"109",-0.16536919315356
"110",0.304078969097226
"111",-1.68469780104615
"112",0.647080959920536
"113",-1.06212415573748
"114",-0.234922858369242
"115",2.82091849527998
"116",0.0857364766023204
"117",-1.67524387810894
"118",-1.36008599641751
"119",-1.7268037913617
"120",0.353443458252272
"121",-1.69209688682116
"122",-0.275571492169775
