week,subtype,count
2018-02-05,A,24
2018-02-12,A,6
2018-02-19,A,2
2018-02-26,A,10
2018-03-05,A,10
2018-03-12,A,7
2018-03-19,A,2
2018-03-26,A,3
2018-04-02,A,0
2018-04-09,A,0
2018-04-16,A,0
2018-04-23,A,0
2018-04-30,A,0
2018-05-07,A,0
2018-05-14,A,0
2018-05-21,A,0
2018-05-28,A,0
2018-06-04,A,0
2018-06-11,A,0
2018-06-18,A,0
2018-06-25,A,0
2018-07-02,A,0
2018-07-09,A,0
2018-07-16,A,0
2018-07-23,A,0
2018-07-30,A,0
2018-08-06,A,0
2018-08-13,A,0
2018-08-20,A,0
2018-08-27,A,0
2018-09-03,A,0
2018-09-10,A,0
2018-09-17,A,0
2018-09-24,A,0
2018-10-01,A,0
2018-10-08,A,0
2018-10-15,A,0
2018-10-22,A,0
2018-10-29,A,14
2018-11-05,A,16
2018-11-12,A,11
2018-11-19,A,11
2018-11-26,A,15
2018-12-03,A,38
2018-12-10,A,14
2018-12-17,A,6
2018-12-24,A,8
2018-12-31,A,42
2019-01-07,A,29
2019-01-14,A,5
2019-01-21,A,9
2019-01-28,A,31
2019-02-04,A,36
2019-02-11,A,17
2019-02-18,A,4
2019-02-25,A,20
2019-03-04,A,13
2019-03-11,A,23
2019-03-18,A,3
2019-03-25,A,7
2019-04-01,A,1
2019-04-08,A,0
2019-04-15,A,0
2019-04-22,A,0
2019-04-29,A,0
2019-05-06,A,0
2019-05-13,A,0
2019-05-20,A,0
2019-05-27,A,0
2019-06-03,A,0
2019-06-10,A,0
2019-06-17,A,0
2019-06-24,A,0
2019-07-01,A,0
2019-07-08,A,0
2019-07-15,A,0
2019-07-22,A,1
2019-07-29,A,0
2019-08-05,A,0
2019-08-12,A,0
2019-08-19,A,0
2019-08-26,A,0
2019-09-02,A,1
2019-09-09,A,1
2019-09-16,A,0
2019-09-23,A,0
2019-09-30,A,0
2019-10-07,A,1
2019-10-14,A,0
2019-10-21,A,1
2019-10-28,A,42
2019-11-04,A,49
2019-11-11,A,28
2019-11-18,A,20
2019-11-25,A,46
2019-12-02,A,99
2019-12-09,A,59
2019-12-16,A,47
2019-12-23,A,56
2019-12-30,A,94
2020-01-06,A,53
2020-01-13,A,54
2020-01-20,A,35
2020-01-27,A,56
2020-02-03,A,77
2020-02-10,A,42
2020-02-17,A,29
2020-02-24,A,31
2020-03-02,A,67
2020-03-09,A,28
2020-03-16,A,13
2013-04-01,B,0
2013-04-08,B,0
2013-04-15,B,0
2013-04-22,B,0
2013-04-29,B,0
2013-05-06,B,0
2013-05-13,B,0
2013-05-20,B,0
2013-05-27,B,0
2013-06-03,B,0
2013-06-10,B,0
2013-06-17,B,7
2013-06-24,B,2
2013-07-01,B,1
2013-07-08,B,3
2013-07-15,B,2
2013-07-22,B,1
2013-07-29,B,3
2013-08-05,B,1
2013-08-12,B,5
2013-08-19,B,3
2013-08-26,B,2
2013-09-02,B,0
2013-09-09,B,0
2013-09-16,B,2
2013-09-23,B,4
2013-09-30,B,3
2013-10-07,B,5
2013-10-14,B,5
2013-10-21,B,4
2013-10-28,B,5
2013-11-04,B,0
2013-11-11,B,5
2013-11-18,B,8
2013-11-25,B,4
2013-12-02,B,6
2013-12-09,B,6
2013-12-16,B,4
2013-12-23,B,3
2013-12-30,B,2
2014-01-06,B,6
2014-01-13,B,8
2014-01-20,B,7
2014-01-27,B,3
2014-02-03,B,2
2014-02-10,B,0
2014-02-17,B,0
2014-02-24,B,0
2014-03-03,B,0
2014-03-10,B,0
2014-03-17,B,1
2014-03-24,B,0
2014-03-31,B,0
2014-04-07,B,2
2014-04-14,B,0
2014-04-21,B,0
2014-04-28,B,0
2014-05-05,B,0
2014-05-12,B,0
2014-05-19,B,0
2014-05-26,B,0
2014-06-02,B,0
2014-06-09,B,0
2014-06-16,B,0
2014-06-23,B,0
2014-06-30,B,0
2014-07-07,B,0
2014-07-14,B,0
2014-07-21,B,0
2014-07-28,B,0
2014-08-04,B,0
2014-08-11,B,0
2014-08-18,B,0
2014-08-25,B,0
2014-09-01,B,0
2014-09-08,B,0
2014-09-15,B,0
2014-09-22,B,0
2014-09-29,B,0
2014-10-06,B,0
2014-10-13,B,0
2014-10-20,B,1
2014-10-27,B,1
2014-11-03,B,0
2014-11-10,B,0
2014-11-17,B,2
2014-11-24,B,1
2014-12-01,B,0
2014-12-08,B,2
2014-12-15,B,6
2014-12-22,B,1
2014-12-29,B,2
2015-01-05,B,1
2015-01-12,B,1
2015-01-19,B,5
2015-01-26,B,6
2015-02-02,B,7
2015-02-09,B,7
2015-02-16,B,5
2015-02-23,B,13
2015-03-02,B,7
2015-03-09,B,4
2015-03-16,B,6
2015-03-23,B,6
2015-03-30,B,4
2015-04-06,B,2
2015-04-13,B,0
2015-04-20,B,0
2015-04-27,B,0
2015-05-04,B,0
2015-05-11,B,0
2015-05-18,B,0
2015-05-25,B,0
2015-06-01,B,0
2015-06-08,B,0
2015-06-15,B,0
2015-06-22,B,0
2015-06-29,B,0
2015-07-06,B,0
2015-07-13,B,0
2015-07-20,B,0
2015-07-27,B,0
2015-08-03,B,0
2015-08-10,B,0
2015-08-17,B,0
2015-08-24,B,0
2015-08-31,B,0
2015-09-07,B,0
2015-09-14,B,0
2015-09-21,B,0
2015-09-28,B,0
2015-10-05,B,0
2015-10-12,B,0
2015-10-19,B,0
2015-10-26,B,0
2015-11-02,B,0
2015-11-09,B,1
2015-11-16,B,1
2015-11-23,B,0
2015-11-30,B,2
2015-12-07,B,0
2015-12-14,B,2
2015-12-21,B,6
2015-12-28,B,8
2016-01-04,B,9
2016-01-11,B,16
2016-01-18,B,14
2016-01-25,B,11
2016-02-01,B,17
2016-02-08,B,16
2016-02-15,B,21
2016-02-22,B,16
2016-02-29,B,20
2016-03-07,B,6
2016-03-14,B,9
2016-03-21,B,17
2016-03-28,B,7
2016-04-04,B,7
2016-04-11,B,4
2016-04-18,B,1
2016-04-25,B,0
2016-05-02,B,1
2016-05-09,B,1
2016-05-16,B,0
2016-05-23,B,3
2016-05-30,B,1
2016-06-06,B,1
2016-06-13,B,0
2016-06-20,B,0
2016-06-27,B,1
2016-07-04,B,0
2016-07-11,B,0
2016-07-18,B,0
2016-07-25,B,0
2016-08-01,B,0
2016-08-08,B,0
2016-08-15,B,0
2016-08-22,B,0
2016-08-29,B,0
2016-09-05,B,0
2016-09-12,B,0
2016-09-19,B,0
2016-09-26,B,0
2016-10-03,B,0
2016-10-10,B,1
2016-10-17,B,1
2016-10-24,B,1
2016-10-31,B,11
2016-11-07,B,22
