iteration,loglik,run
0,,0
1,-8610391.0,0
2,-28712.1328125,0
3,-28471.787109375,0
4,-28253.4609375,0
5,-28034.251953125,0
6,-27912.640625,0
7,-27802.4453125,0
8,-27700.970703125,0
9,-27592.033203125,0
10,-27510.15234375,0
11,-27438.7890625,0
12,-27363.603515625,0
13,-27296.89453125,0
14,-27236.54296875,0
15,-27163.166015625,0
16,-27104.93359375,0
17,-27055.23828125,0
18,-27004.5234375,0
19,-26961.126953125,0
20,-26919.84375,0
21,-26872.119140625,0
22,-26836.044921875,0
23,-26803.96875,0
24,-26768.0625,0
25,-26733.81640625,0
26,-26701.001953125,0
27,-26672.064453125,0
28,-26644.212890625,0
29,-26614.482421875,0
30,-26584.341796875,0
31,-26562.080078125,0
32,-26535.220703125,0
33,-26507.5703125,0
34,-26481.52734375,0
35,-26459.703125,0
36,-26438.916015625,0
37,-26415.490234375,0
38,-26394.900390625,0
39,-26378.369140625,0
40,-26362.955078125,0
41,-26345.02734375,0
42,-26327.7421875,0
43,-26311.234375,0
44,-26294.654296875,0
45,-26276.716796875,0
46,-26260.4765625,0
47,-26245.8203125,0
48,-26231.20703125,0
49,-26218.24609375,0
50,-26203.87109375,0
