iteration,loglik,run
0,,2
1,-10845181.0,2
2,-11263067.0,2
3,-12504108.0,2
4,-15126402.0,2
5,-19759904.0,2
6,-22321830.0,2
7,-19826714.0,2
8,-19936354.0,2
9,-22886938.0,2
10,-36581180.0,2
11,-41796028.0,2
12,-30796836.0,2
13,-23977848.0,2
14,-24470372.0,2
15,-26278274.0,2
16,-26303084.0,2
17,-25246484.0,2
18,-32288808.0,2
19,-35030256.0,2
20,-31009398.0,2
21,-27312124.0,2
22,-28318604.0,2
23,-33473026.0,2
24,-34129080.0,2
25,-34319064.0,2
26,-44977760.0,2
27,-50067080.0,2
28,-40185932.0,2
29,-31850098.0,2
30,-36918088.0,2
31,-33386138.0,2
32,-31478564.0,2
33,-32446810.0,2
34,-33389646.0,2
35,-33051426.0,2
36,-33283724.0,2
37,-37122956.0,2
38,-33744628.0,2
39,-35799196.0,2
40,-36953812.0,2
41,-40792036.0,2
42,-41917068.0,2
43,-40480236.0,2
44,-39798524.0,2
45,-46032900.0,2
46,-43798764.0,2
47,-47318704.0,2
48,-47795408.0,2
49,-45985560.0,2
50,-46893296.0,2
