regime,n,mean_VRP,pct_negative
COVID (Feb–Apr 2020),50,0.06431483706391998,26.0
Fed tightening (2022),251,0.0066109619040899065,37.05179282868526
SVB (Mar 2023),23,0.015353358548255615,4.3478260869565215
Tariff shock (Apr–May 2025),42,-0.012682282787653196,57.14285714285714
Other days,1393,0.01110412917385019,28.14070351758794
