J,mean_ll,sd_ll,se_ll,ci95_lower,ci95_upper,min_ll,max_ll,ess_min_global,n_reps_ess_eq1,runtime_s,seed
1000,-195.72990384042993,17.298797688636817,3.868128756080816,-203.31143620234832,-188.14837147851154,-224.00766621262676,-163.7049391982911,1.00000000008799,20,5.1,800
2000,-172.33554726272092,9.940418680308388,2.2227451893978305,-176.69212783394067,-167.97896669150117,-189.80105971466153,-155.27952551027147,1.000000001908834,20,6.5,801
5000,-159.7619847139633,8.915448584160202,1.9935549084086466,-163.66935233444426,-155.85461709348235,-178.14578323342977,-143.95342311270625,1.0000000210863933,19,11.2,802
10000,-148.41239392075124,5.425925479322542,1.2132738212613332,-150.79041061042346,-146.03437723107902,-158.79948877159208,-139.52042098206095,1.0000006807084034,18,18.6,803
20000,-144.6490749998158,3.737260955464089,0.8356769546073517,-146.2870018308462,-143.0111481687854,-154.73664805757903,-138.17424765916783,1.0003220368136139,18,33.3,804
