,estimate,std_err,pvalue
mu,0.0005495527408797331,0.00019706445969985362,0.005292082183364004
omega,-0.31114051102481666,0.0893984341387511,0.000500703299573904
alpha[1],0.11838838688009042,0.0765127438581679,0.12179023405919147
alpha[2],0.10076925965365004,0.07696832276317346,0.1904563542576998
gamma[1],-0.1021032486245917,0.03197357506777087,0.0014062578842445068
beta[1],0.963226364833529,0.010411041480274972,0.0
