iteration,value,parameter,run
38,0.563899040222168,sigma,0
39,0.5645099878311157,sigma,0
40,0.5670555830001831,sigma,0
41,0.560911238193512,sigma,0
42,0.5656734108924866,sigma,0
43,0.5677308440208435,sigma,0
44,0.576784074306488,sigma,0
45,0.5713929533958435,sigma,0
46,0.5762365460395813,sigma,0
47,0.5762261152267456,sigma,0
48,0.5904263854026794,sigma,0
49,0.5876226425170898,sigma,0
50,0.5864769220352173,sigma,0
0,0.262822687625885,phi,0
1,0.2574789822101593,phi,0
2,0.24863651394844055,phi,0
3,0.23608826100826263,phi,0
4,0.22404147684574127,phi,0
5,0.22145694494247437,phi,0
6,0.20136331021785736,phi,0
7,0.2087121158838272,phi,0
8,0.19801941514015198,phi,0
9,0.18137457966804504,phi,0
10,0.1939522922039032,phi,0
11,0.18899010121822357,phi,0
12,0.18317095935344696,phi,0
13,0.17684943974018097,phi,0
14,0.17999419569969177,phi,0
15,0.1827952116727829,phi,0
16,0.1790163815021515,phi,0
17,0.17358101904392242,phi,0
18,0.17409110069274902,phi,0
19,0.1682577282190323,phi,0
20,0.16880305111408234,phi,0
21,0.17331093549728394,phi,0
22,0.17505790293216705,phi,0
23,0.1904440075159073,phi,0
24,0.18228529393672943,phi,0
25,0.179520383477211,phi,0
26,0.16593369841575623,phi,0
27,0.15881656110286713,phi,0
28,0.15827105939388275,phi,0
29,0.1642124354839325,phi,0
30,0.16690056025981903,phi,0
31,0.16183851659297943,phi,0
32,0.16300436854362488,phi,0
33,0.16565357148647308,phi,0
34,0.1689731329679489,phi,0
35,0.17084576189517975,phi,0
36,0.16577865183353424,phi,0
37,0.16560404002666473,phi,0
38,0.17766530811786652,phi,0
39,0.17384886741638184,phi,0
40,0.17986924946308136,phi,0
41,0.17272469401359558,phi,0
42,0.174132838845253,phi,0
43,0.16542920470237732,phi,0
44,0.17213495075702667,phi,0
45,0.16968366503715515,phi,0
46,0.17388701438903809,phi,0
47,0.18278402090072632,phi,0
48,0.19103080034255981,phi,0
49,0.1937992423772812,phi,0
50,0.1973409801721573,phi,0
0,2300000.0,N,0
1,2300000.0,N,0
2,2300000.0,N,0
3,2300000.0,N,0
4,2300000.0,N,0
5,2300000.0,N,0
6,2300000.0,N,0
7,2300000.0,N,0
8,2300000.0,N,0
9,2300000.0,N,0
10,2300000.0,N,0
11,2300000.0,N,0
12,2300000.0,N,0
13,2300000.0,N,0
14,2300000.0,N,0
15,2300000.0,N,0
16,2300000.0,N,0
17,2300000.0,N,0
18,2300000.0,N,0
19,2300000.0,N,0
20,2300000.0,N,0
21,2300000.0,N,0
22,2300000.0,N,0
23,2300000.0,N,0
24,2300000.0,N,0
25,2300000.0,N,0
26,2300000.0,N,0
27,2300000.0,N,0
28,2300000.0,N,0
29,2300000.0,N,0
30,2300000.0,N,0
31,2300000.0,N,0
32,2300000.0,N,0
33,2300000.0,N,0
34,2300000.0,N,0
35,2300000.0,N,0
36,2300000.0,N,0
37,2300000.0,N,0
38,2300000.0,N,0
39,2300000.0,N,0
40,2300000.0,N,0
41,2300000.0,N,0
42,2300000.0,N,0
43,2300000.0,N,0
44,2300000.0,N,0
45,2300000.0,N,0
46,2300000.0,N,0
47,2300000.0,N,0
48,2300000.0,N,0
49,2300000.0,N,0
50,2300000.0,N,0
0,0.07001446187496185,rho,0
1,0.09073923528194427,rho,0
2,0.08990956842899323,rho,0
3,0.1064043939113617,rho,0
4,0.09393187612295151,rho,0
5,0.10935677587985992,rho,0
6,0.1054759994149208,rho,0
7,0.104897141456604,rho,0
8,0.1059240996837616,rho,0
9,0.11173021048307419,rho,0
10,0.11457786709070206,rho,0
11,0.11793556064367294,rho,0
12,0.13097061216831207,rho,0
13,0.14638935029506683,rho,0
14,0.16028693318367004,rho,0
15,0.1529889553785324,rho,0
16,0.15465770661830902,rho,0
17,0.1579103320837021,rho,0
18,0.16769449412822723,rho,0
19,0.17861463129520416,rho,0
20,0.17027688026428223,rho,0
21,0.1694650948047638,rho,0
22,0.16815321147441864,rho,0
23,0.16979019343852997,rho,0
24,0.17323037981987,rho,0
25,0.1772773414850235,rho,0
26,0.16891144216060638,rho,0
27,0.1630857288837433,rho,0
28,0.16708269715309143,rho,0
29,0.17668677866458893,rho,0
30,0.17075559496879578,rho,0
31,0.17286302149295807,rho,0
32,0.1774587333202362,rho,0
33,0.18111278116703033,rho,0
34,0.18094108998775482,rho,0
35,0.18109610676765442,rho,0
36,0.18781134486198425,rho,0
37,0.19044852256774902,rho,0
38,0.20583637058734894,rho,0
39,0.20448464155197144,rho,0
40,0.20094631612300873,rho,0
41,0.19709302484989166,rho,0
42,0.200168177485466,rho,0
43,0.19797736406326294,rho,0
44,0.19600437581539154,rho,0
45,0.20055149495601654,rho,0
46,0.2035405933856964,rho,0
47,0.2102535367012024,rho,0
48,0.20481759309768677,rho,0
49,0.20875217020511627,rho,0
50,0.21028374135494232,rho,0
0,0.06545829027891159,theta,0
1,0.0629231408238411,theta,0
2,0.06455148011445999,theta,0
3,0.06795622408390045,theta,0
4,0.0774538442492485,theta,0
5,0.07572430372238159,theta,0
6,0.09006813913583755,theta,0
7,0.09592974931001663,theta,0
8,0.08887923508882523,theta,0
9,0.0961332693696022,theta,0
10,0.1004256159067154,theta,0
11,0.12165535986423492,theta,0
12,0.12526239454746246,theta,0
13,0.1338159739971161,theta,0
14,0.13718323409557343,theta,0
15,0.1625787913799286,theta,0
16,0.15385696291923523,theta,0
17,0.15815679728984833,theta,0
18,0.162276491522789,theta,0
19,0.1664804369211197,theta,0
20,0.16604669392108917,theta,0
21,0.1650179922580719,theta,0
22,0.16474774479866028,theta,0
23,0.15484954416751862,theta,0
24,0.14805451035499573,theta,0
25,0.15067623555660248,theta,0
26,0.14556829631328583,theta,0
27,0.1377575695514679,theta,0
28,0.13688871264457703,theta,0
29,0.13745662569999695,theta,0
30,0.135466068983078,theta,0
31,0.13432230055332184,theta,0
32,0.12715400755405426,theta,0
33,0.12430215626955032,theta,0
34,0.12930236756801605,theta,0
35,0.12937165796756744,theta,0
36,0.12581661343574524,theta,0
37,0.11474815011024475,theta,0
38,0.11166227608919144,theta,0
39,0.11731528490781784,theta,0
40,0.11422932147979736,theta,0
41,0.11149371415376663,theta,0
42,0.1039818823337555,theta,0
43,0.11274681240320206,theta,0
44,0.11282374709844589,theta,0
45,0.11571001261472702,theta,0
46,0.11286917328834534,theta,0
47,0.10576188564300537,theta,0
48,0.11382698267698288,theta,0
49,0.10684656351804733,theta,0
50,0.09071851521730423,theta,0
0,0.6874074935913086,beta,1
1,0.7021838426589966,beta,1
2,0.7037267684936523,beta,1
3,0.6929100751876831,beta,1
4,0.6884499788284302,beta,1
5,0.6799374222755432,beta,1
6,0.6670246720314026,beta,1
7,0.6618810892105103,beta,1
8,0.6642693281173706,beta,1
