model,loglik,aic,bic,loglik_se
"EGARCH(2,1,1)-Normal",3636.823525018659,-7261.647050037319,-7230.837704927923,
POMP Heston (MLE via IF2),3632.8531433187522,-7253.7062866375045,,0.24378122375284195
