mu,kappa,theta,xi,rho,V_0,loglik,start
0.0006351517513394356,0.02012976072728634,0.00023257857537828386,0.002406371058896184,-0.5919681787490845,7.113182073226199e-05,3633.0073396701396,7
0.0006838638219051063,0.03996885195374489,0.00019585825793910772,0.0026437980122864246,-0.5156090259552002,0.00012744400009978563,3631.8689733056804,4
0.0008202921017073095,0.02663266472518444,0.00022077080211602151,0.002710431581363082,-0.5114526152610779,0.0002952966606244445,3631.708368736208,3
0.0008449595770798624,0.018805598840117455,0.00019595578487496823,0.002302381908521056,-0.6238979697227478,0.00019205994613002986,3630.686159684473,10
0.0005685561918653548,0.02699236571788788,0.00021640368504449725,0.0024364334531128407,-0.60526442527771,0.00026606611208990216,3630.4440547768645,8
0.0006556374719366431,0.04394614323973656,0.00018962750618811697,0.00277708750218153,-0.6518294811248779,0.0001092562306439504,3630.436851720543,0
0.0005707335658371449,0.035228289663791656,0.0001849195541581139,0.002450629835948348,-0.64955735206604,0.00010660567932063714,3630.049203538872,6
0.0006580586777999997,0.02105747163295746,0.00022552545124199241,0.0023088452871888876,-0.6073658466339111,0.00037647970020771027,3629.9793322056075,2
0.0005298822070471942,0.03411807492375374,0.00020652022794820368,0.0026428098790347576,-0.6471404433250427,0.00026716451975516975,3629.602844123759,9
0.0006381649291142821,0.0356343649327755,0.00017917942022904754,0.0024843113496899605,-0.665831446647644,0.00023894543119240552,3628.932379823135,1
0.0006929850787855685,0.03026568330824375,0.00018784684652928263,0.0023948107846081257,-0.6317466497421265,0.0003347298479638994,3628.7784015218845,11
0.0007177486550062895,0.022792957723140717,0.00019837345462292433,0.0021305435802787542,-0.7193655967712402,0.0004764403565786779,3623.142567280931,5
