Price,Close,High,Low,Open,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,
2021-01-04,85.70834350585938,87.31564632773683,84.69714464011498,87.1614102748018,38038000
2021-01-05,86.3371810913086,86.67193433850245,85.20125844880863,85.54766528916385,22906000
2021-01-06,86.0579833984375,86.68830660867684,84.25825232594383,84.43827764734695,52042000
2021-01-07,88.63481140136719,88.6918383275877,86.14524857172081,86.29452048608202,45300000
2021-01-08,89.62467956542969,89.75510898644488,87.95464418699582,88.67101469054919,41012000
2021-01-11,87.61666870117188,88.9851863313301,87.30919548708157,88.57628903059744,24194000
2021-01-12,86.61638641357422,88.17806619639528,85.56303785339858,86.98188545419609,27140000
2021-01-13,87.00568389892578,87.53309972168303,86.19285345879712,86.22112476909484,21882000
2021-01-14,86.30047607421875,88.02779564101687,85.96423211932873,86.96700097737205,23590000
2021-01-15,86.10260772705078,87.08504343058807,85.3765661981247,86.20179190881777,26844000
2021-01-19,88.81385040283203,89.7271061839766,86.36396240818486,86.8990742224771,34692000
2021-01-20,93.57673645019531,94.41039201801345,90.53321938414396,90.82730609267577,49806000
2021-01-21,93.79248046875,95.95522097089948,93.58716533693034,94.12723373007633,41278000
2021-01-22,94.27848815917969,94.76946011290237,93.32184163064795,94.01217327551016,25442000
2021-01-25,94.19664764404297,95.69335474917038,92.61612548587166,95.25148687472665,38546000
2021-01-26,95.08138275146484,95.46622370118355,93.44506712295737,93.6729478127448,26262000
2021-01-27,90.79407501220703,93.73046973874973,89.71344658018222,93.36001418186525,54966000
2021-01-28,92.39694213867188,94.16839435814256,91.38177789633149,91.44624345912963,35462000
2021-01-29,91.03956604003906,92.10779173689144,89.77296443542703,91.55681901730415,32252000
2021-02-01,94.2933578491211,95.33689167199552,91.79289035316354,91.92381165663161,32044000
2021-02-02,95.59071350097656,96.99170993679992,94.9450136545048,95.34522375881232,45474000
2021-02-03,102.6606674194336,104.96325841895349,100.09720999120607,102.8059740989812,82364000
2021-02-04,102.27879333496094,103.08120367338923,101.29784845562203,102.60214267303199,37046000
2021-02-05,104.0457992553711,104.26946500328056,102.12804159521616,102.65719796271168,30702000
2021-02-08,103.79336547851562,105.3127442303304,102.75637735385523,104.43807400223707,24838000
2021-02-09,103.32718658447266,104.39938515562169,103.08071311327238,103.08071311327238,17798000
2021-02-10,103.91586303710938,104.56007972680999,102.31451554391066,103.85784479062234,22710000
2021-02-11,103.94115447998047,104.24565377397838,103.02021040634945,104.12068034421185,18914000
2021-02-12,104.34880828857422,104.58239472623939,103.30835430191051,103.66145060772543,17114000
2021-02-16,105.23106384277344,106.7575331348016,104.36120639126322,104.36120639126322,22676000
2021-02-17,105.54895782470703,105.81428139435727,104.09142623066415,104.14498735741061,21418000
2021-02-18,104.99797058105469,105.7683940855901,104.32896359560172,104.6602434323717,22432000
2021-02-19,104.20150756835938,105.6590389546534,104.01652571519517,105.10062758666214,29148000
2021-02-22,102.40328979492188,103.71947994840468,102.26740435356497,102.50842185689056,27350000
2021-02-23,102.69984436035156,103.25280733910866,99.28587137626359,100.42601651993324,33348000
2021-02-24,103.90544128417969,104.1836594479523,101.07666797930614,101.26015908617546,24966000
2021-02-25,100.74092102050781,103.89106097364152,100.2415192015447,102.53072356341767,36568000
2021-02-26,101.01367950439453,102.7072717466648,99.98214747202229,101.69111640130264,41670000
2021-03-01,103.2280044555664,103.47646055578979,101.47192161250796,101.98867518885048,28090000
2021-03-02,102.9468002319336,104.36168237527991,102.71966871882194,102.96415954198118,22692000
2021-03-03,100.51033020019531,103.57556584161517,99.68163105233624,102.51883462280813,29684000
2021-03-04,101.62020111083984,103.6113535357781,100.19093344062657,100.34467761669923,42360000
2021-03-05,104.56849670410156,105.04310058204629,101.48753674558803,102.81191448554497,43904000
2021-03-08,100.38435363769531,105.5737436566937,100.25739002064296,104.20101859863271,32948000
2021-03-09,101.79922485351562,103.05590572487101,101.55770796470996,102.65717886724289,33946000
2021-03-10,101.91478729248047,102.90515344140061,100.84060608747292,102.74447008089501,25372000
2021-03-11,104.87745666503906,105.41950757680743,102.77521688553526,102.85853249663339,24782000
2021-03-12,102.25647735595703,103.6619383704102,101.5438299447497,103.40107952720192,34516000
2021-03-15,102.48312377929688,102.51138752505237,101.34347809301322,102.27532660166743,25962000
2021-03-16,103.7740249633789,105.31338889081954,102.65719457975071,103.10303530903055,29832000
2021-03-17,103.70259094238281,104.62997457723688,101.8636846631004,102.95621632040253,25980000
2021-03-18,100.98194122314453,102.9299526804862,100.8495291727667,102.21085793187181,27228000
2021-03-19,101.32810974121094,101.81907408887903,100.06249930319005,101.27107524231491,46298000
2021-03-22,101.09947204589844,102.06157442459384,100.4785701875192,101.26065484176293,39096000
2021-03-23,101.8121337890625,102.77135310263313,101.13072401516798,101.74964329062479,27340000
2021-03-24,101.42034912109375,103.06435325966754,101.24652897185213,102.4275827799817,23080000
2021-03-25,101.3856430053711,102.10522970269726,99.71783215990258,101.40795888021246,28378000
2021-03-26,100.94871520996094,101.71443190903587,99.88098128377625,101.11287195140292,29870000
2021-03-29,101.96041107177734,102.08340187317192,99.96032925646956,100.568336511724,24596000
2021-03-30,101.9400863647461,102.69588242086586,101.36927218224938,102.04373523866775,20732000
2021-03-31,102.58924865722656,103.81404117008134,101.99983419217622,102.11761871070888,29198000
2021-04-01,106.01708984375,106.27448285620194,103.99072714385044,104.04329694621134,33980000
2021-04-05,110.37135314941406,110.95457003440771,106.70495900248957,106.77042343492305,43298000
2021-04-06,110.33169555664062,110.97193942880854,109.8382415556691,110.22010861774682,27060000
