p,d,q,P,D,Q,m,bic
2,0,0,1,1,2,12,412.5753413589534
2,0,0,2,1,0,12,478.9705830490936
2,0,0,2,1,1,12,426.161276433049
2,0,0,2,1,2,12,418.3719040106527
2,0,1,0,1,0,12,634.9178647766875
2,0,1,0,1,1,12,426.3220736394333
2,0,1,0,1,2,12,422.1564526304233
2,0,1,1,1,0,12,514.9440561363862
2,0,1,1,1,1,12,437.8763248981885
2,0,1,1,1,2,12,417.9092015060134
2,0,1,2,1,0,12,484.0660023536794
2,0,1,2,1,1,12,422.8286127435032
2,0,1,2,1,2,12,425.63692567318975
2,0,2,0,1,0,12,640.2725175086841
2,0,2,0,1,1,12,430.96656735542183
2,0,2,0,1,2,12,423.0298605646988
2,0,2,1,1,0,12,520.7574138182325
2,0,2,1,1,1,12,449.31409808540803
2,0,2,1,1,2,12,424.8879457855108
2,0,2,2,1,0,12,489.9976944583604
2,0,2,2,1,1,12,436.6795437433907
2,0,2,2,1,2,12,432.42837493162693
2,0,3,0,1,0,12,645.3606030428717
2,0,3,0,1,1,12,421.9659805500104
2,0,3,0,1,2,12,438.8783618246998
2,0,3,1,1,0,12,521.0282337872904
2,0,3,1,1,1,12,441.21501693483015
2,0,3,1,1,2,12,428.84435712842736
2,0,3,2,1,0,12,495.78101335939886
2,0,3,2,1,1,12,438.4356891513308
2,0,3,2,1,2,12,435.90020296441514
2,1,0,0,1,0,12,659.9329950941441
2,1,0,0,1,1,12,422.2977675084858
2,1,0,0,1,2,12,424.57601443023844
2,1,0,1,1,0,12,521.9800232178836
2,1,0,1,1,1,12,439.2337971289751
2,1,0,1,1,2,12,413.8662242705831
2,1,0,2,1,0,12,489.03369135601076
2,1,0,2,1,1,12,425.0454133410508
2,1,0,2,1,2,12,422.5005338534026
2,1,1,0,1,0,12,637.2197717565914
2,1,1,0,1,1,12,414.48590622090103
2,1,1,0,1,2,12,417.2059294037083
2,1,1,1,1,0,12,511.5388718396198
2,1,1,1,1,1,12,434.44620477425053
2,1,1,1,1,2,12,409.37730125398934
2,1,1,2,1,0,12,477.31168692356846
2,1,1,2,1,1,12,416.7601351851671
2,1,1,2,1,2,12,416.03814874998716
2,1,2,0,1,0,12,640.6494052025545
2,1,2,0,1,1,12,418.640531518199
2,1,2,0,1,2,12,420.73929190559716
2,1,2,1,1,0,12,517.48552054529
2,1,2,1,1,1,12,438.5822407221409
2,1,2,1,1,2,12,412.04620484642805
2,1,2,2,1,0,12,483.2525755611007
2,1,2,2,1,1,12,422.4665177508593
2,1,2,2,1,2,12,417.9295334378347
2,1,3,0,1,0,12,645.2764490773991
2,1,3,0,1,1,12,419.7153363830609
2,1,3,0,1,2,12,423.1886397673366
2,1,3,1,1,0,12,520.5100632963998
2,1,3,1,1,1,12,439.3695198380833
2,1,3,1,1,2,12,411.2048020509775
2,1,3,2,1,0,12,487.099894933964
2,1,3,2,1,1,12,424.2433399899402
2,1,3,2,1,2,12,425.3788190642228
3,0,0,0,1,0,12,634.3888671202222
3,0,0,0,1,1,12,427.26208874211693
3,0,0,0,1,2,12,429.0777107890846
3,0,0,1,1,0,12,512.528733065502
3,0,0,1,1,1,12,443.4913800847379
