GAME_DATE,PTS,Rolling_DEF_RATING,Usage_Missing,home
2021-10-20,20,110.2,0.647,0
2021-10-22,18,92.5,0.3360000000000003,1
2021-10-24,31,101.9,0.7580000000000002,0
2021-10-25,41,104.4,0.6070000000000002,0
2021-10-27,23,101.9,0.4600000000000002,1
2021-10-30,27,104.7,0.6270000000000002,0
2021-11-01,20,99.3,0.3360000000000003,1
2021-11-03,14,113.2,0.3360000000000001,0
2021-11-04,10,97.9,0.5000000000000002,0
2021-11-06,32,106.6,0.6340000000000003,0
2021-11-10,22,108.5,0.6340000000000003,1
2021-11-12,27,104.5,0.6340000000000001,1
2021-11-13,21,105.0,0.9450000000000003,0
2021-11-15,23,102.4,0.6340000000000001,0
2021-11-17,34,114.8,0.7460000000000002,0
2021-11-19,37,107.2,0.746,1
2021-11-20,33,101.1,0.7460000000000002,1
2021-11-22,30,111.4,0.5000000000000002,1
2021-11-24,15,104.7,0.6120000000000001,1
2021-11-26,24,116.0,0.6120000000000001,0
2021-11-28,8,119.4,0.6770000000000003,0
2021-12-01,26,107.9,0.3360000000000001,1
2021-12-03,37,108.0,0.6340000000000001,0
2021-12-04,31,115.7,0.905,0
2021-12-07,34,108.3,0.6340000000000001,0
2021-12-08,29,109.9,0.6340000000000001,0
2021-12-10,24,105.0,0.7980000000000003,0
2021-12-13,42,107.3,0.5000000000000002,1
2021-12-17,27,101.3,0.8350000000000002,1
2021-12-18,25,116.2,0.9590000000000001,1
2021-12-20,17,115.9,0.77,1
2021-12-22,18,96.6,0.7700000000000002,1
2021-12-25,25,108.4,0.9990000000000001,0
2022-01-05,19,108.6,0.516,1
2022-01-06,36,105.2,0.516,0
2022-01-08,19,103.1,0.516,1
2022-01-10,24,114.6,0.516,1
2022-01-12,33,111.6,0.5150000000000001,0
2022-01-14,20,104.0,0.5150000000000001,0
2022-01-15,23,115.0,0.5150000000000001,1
2022-01-17,27,113.0,0.6270000000000002,1
2022-01-19,12,103.4,0.627,1
2022-01-21,27,108.8,0.5150000000000001,1
2022-01-23,51,111.7,0.3360000000000001,0
2022-01-25,36,119.1,0.3360000000000003,1
2022-01-28,20,114.0,0.3360000000000001,0
2022-01-29,38,113.0,0.3360000000000001,0
2022-01-31,20,106.8,0.3360000000000001,1
2022-02-02,19,112.0,0.3360000000000001,1
2022-02-04,24,115.9,0.3360000000000001,0
2022-02-06,15,111.8,0.3360000000000001,0
2022-02-08,19,120.2,0.3360000000000003,0
2022-02-11,24,112.5,0.6710000000000003,1
2022-02-13,38,116.9,0.6710000000000003,1
2022-02-15,28,107.8,0.629,0
2022-02-16,22,118.7,0.808,1
2022-02-24,30,109.4,0.5170000000000003,0
2022-02-26,26,115.1,0.5170000000000003,0
2022-02-27,24,119.0,0.5170000000000001,0
2022-03-01,33,110.6,0.5170000000000003,1
2022-03-03,37,112.8,0.8150000000000004,1
2022-03-06,54,121.9,0.5170000000000003,1
2022-03-09,44,112.8,0.5170000000000003,0
2022-03-11,31,114.2,0.5170000000000003,1
2022-03-13,21,111.8,0.5170000000000003,1
2022-03-16,26,116.0,0.5170000000000003,0
2022-03-18,32,116.9,0.5170000000000003,0
2022-03-20,30,115.2,0.5170000000000003,0
2022-03-21,36,122.5,0.8080000000000003,0
2022-03-23,26,106.9,0.5170000000000001,1
2022-03-27,34,111.6,0.6640000000000001,1
2022-03-30,23,114.3,0.629,1
2022-04-01,31,124.4,0.6290000000000002,1
2022-04-03,22,112.0,0.6290000000000002,1
2022-04-06,16,118.7,0.6290000000000002,0
2022-04-10,31,107.0,0.6290000000000002,0
2022-04-17,31,111.9,0.6290000000000002,1
2022-04-20,19,117.3,0.6290000000000002,1
2022-04-23,39,118.0,0.5170000000000001,0
2022-04-25,29,118.6,0.5170000000000001,0
2022-05-01,21,94.4,0.5170000000000003,1
2022-05-03,29,95.0,0.6960000000000002,1
2022-05-07,10,95.8,0.5170000000000003,0
2022-05-09,30,98.8,0.629,0
2022-05-11,34,103.6,0.629,1
2022-05-13,46,107.6,0.629,0
2022-05-15,23,108.6,0.5169999999999999,1
2022-05-17,29,105.0,0.843,0
2022-05-19,27,106.8,0.6990000000000003,0
2022-05-21,10,111.2,0.6290000000000002,1
2022-05-23,31,111.0,0.6960000000000002,1
2022-05-25,22,109.3,0.5170000000000003,0
2022-05-27,30,110.7,0.5170000000000003,1
2022-05-29,26,112.0,0.5170000000000003,0
2022-06-02,12,112.2,0.5170000000000003,0
2022-06-05,28,120.4,0.5170000000000003,0
2022-06-08,26,115.0,0.5170000000000003,1
2022-06-10,23,114.8,0.5170000000000003,1
2022-06-13,27,110.2,0.5170000000000003,0
2022-06-16,13,107.3,0.5170000000000003,1
