phi,loglik,cutoff
-0.99,-3416.38134765625,-379.29283325195314
-0.9217241379310345,-3548.699462890625,-379.29283325195314
-0.853448275862069,-3618.803955078125,-379.29283325195314
-0.7851724137931034,-3196.408935546875,-379.29283325195314
-0.7168965517241379,-3580.23486328125,-379.29283325195314
-0.6486206896551724,-3486.201416015625,-379.29283325195314
-0.5803448275862069,-3236.3193359375,-379.29283325195314
-0.5120689655172413,-3590.336669921875,-379.29283325195314
-0.4437931034482758,-3330.6181640625,-379.29283325195314
-0.3755172413793103,-3410.91748046875,-379.29283325195314
-0.3072413793103448,-3468.48828125,-379.29283325195314
-0.23896551724137927,-3570.525146484375,-379.29283325195314
-0.17068965517241375,-3194.19287109375,-379.29283325195314
-0.10241379310344823,-3311.96044921875,-379.29283325195314
-0.034137931034482705,-3371.838134765625,-379.29283325195314
0.03413793103448293,-3175.085693359375,-379.29283325195314
0.10241379310344834,-3113.991943359375,-379.29283325195314
0.17068965517241375,-3278.36181640625,-379.29283325195314
0.23896551724137938,-2989.28662109375,-379.29283325195314
0.307241379310345,-3014.144287109375,-379.29283325195314
0.3755172413793104,-2957.220947265625,-379.29283325195314
0.4437931034482758,-2633.107666015625,-379.29283325195314
0.5120689655172415,-2581.89697265625,-379.29283325195314
0.5803448275862071,-2482.103271484375,-379.29283325195314
0.6486206896551725,-2197.4892578125,-379.29283325195314
0.7168965517241379,-2150.408203125,-379.29283325195314
0.7851724137931035,-2123.264892578125,-379.29283325195314
0.8534482758620692,-1930.0179443359375,-379.29283325195314
0.9217241379310346,-1901.2535400390625,-379.29283325195314
0.99,-1880.06005859375,-379.29283325195314
