phi,loglik,cutoff
-0.99,-1790.41650390625,-354.54725830078127
-0.9217241379310345,-1898.1865234375,-354.54725830078127
-0.853448275862069,-1838.5863037109375,-354.54725830078127
-0.7851724137931034,-1764.8314208984375,-354.54725830078127
-0.7168965517241379,-1742.3128662109375,-354.54725830078127
-0.6486206896551724,-1799.6895751953125,-354.54725830078127
-0.5803448275862069,-1862.9495849609375,-354.54725830078127
-0.5120689655172413,-1746.948486328125,-354.54725830078127
-0.4437931034482758,-1754.7567138671875,-354.54725830078127
-0.3755172413793103,-1749.6861572265625,-354.54725830078127
-0.3072413793103448,-1735.794189453125,-354.54725830078127
-0.23896551724137927,-1773.7674560546875,-354.54725830078127
-0.17068965517241375,-1779.3035888671875,-354.54725830078127
-0.10241379310344823,-1743.5789794921875,-354.54725830078127
-0.034137931034482705,-1749.14892578125,-354.54725830078127
0.03413793103448293,-1779.0814208984375,-354.54725830078127
0.10241379310344834,-1784.5560302734375,-354.54725830078127
0.17068965517241375,-1767.7388916015625,-354.54725830078127
0.23896551724137938,-1735.7403564453125,-354.54725830078127
0.307241379310345,-1834.0435791015625,-354.54725830078127
0.3755172413793104,-1762.214111328125,-354.54725830078127
0.4437931034482758,-1759.6409912109375,-354.54725830078127
0.5120689655172415,-1762.126220703125,-354.54725830078127
0.5803448275862071,-1858.3529052734375,-354.54725830078127
0.6486206896551725,-1720.8909912109375,-354.54725830078127
0.7168965517241379,-1727.9080810546875,-354.54725830078127
0.7851724137931035,-1720.34033203125,-354.54725830078127
0.8534482758620692,-1726.75341796875,-354.54725830078127
0.9217241379310346,-1735.3966064453125,-354.54725830078127
0.99,-1741.934814453125,-354.54725830078127
