iteration,loglik,run
0,,2
1,-9167487.0,2
2,-9936692.0,2
3,-11346580.0,2
4,-14102496.0,2
5,-18946884.0,2
6,-21780872.0,2
7,-19190498.0,2
8,-19383406.0,2
9,-22533828.0,2
10,-37697852.0,2
11,-43676556.0,2
12,-31020674.0,2
13,-23678398.0,2
14,-24179588.0,2
15,-26133180.0,2
16,-26254068.0,2
17,-25132800.0,2
18,-32678946.0,2
19,-35644536.0,2
20,-31286258.0,2
21,-27406972.0,2
22,-31322606.0,2
23,-28813784.0,2
24,-28153098.0,2
25,-28317426.0,2
26,-35673936.0,2
27,-39215580.0,2
28,-37630528.0,2
29,-33845748.0,2
30,-39651396.0,2
31,-35382228.0,2
32,-34511960.0,2
33,-35528540.0,2
34,-36554192.0,2
35,-39420828.0,2
36,-39485488.0,2
37,-45131936.0,2
38,-42142124.0,2
39,-45287296.0,2
40,-42302120.0,2
41,-39668152.0,2
42,-40848584.0,2
43,-44756884.0,2
44,-43548720.0,2
45,-51555208.0,2
46,-48605580.0,2
47,-53063736.0,2
48,-53652460.0,2
49,-51184480.0,2
50,-55172020.0,2
